,0
0,52.25
1,50.25
2,49.5
3,50.5
4,51.0
5,50.625
6,49.875
7,49.25
8,49.5
9,49.5
10,50.5
11,50.25
12,50.5
13,50.5
14,50.0
15,51.0
16,50.5
17,50.5
18,49.5
19,50.5
20,50.375
21,49.875
22,48.625
23,49.5
24,50.5
25,49.5
26,49.625
27,50.0
28,50.375
29,50.0
30,50.5
31,49.5
32,49.5
33,49.5
34,49.5
35,49.5
36,49.5
37,49.5
38,49.0
39,49.5
40,49.5
41,49.5
42,49.5
43,49.0
44,49.0
45,49.5
46,49.5
47,48.5
48,49.25
49,49.5
50,49.0
51,49.5
52,49.5
53,48.5
54,49.5
55,48.5
56,48.5
57,49.25
58,48.5
59,49.0
60,48.5
61,48.5
62,49.0
63,48.5
64,49.0
65,48.5
66,48.25
67,48.5
68,48.5
69,48.875
70,48.5
71,48.625
72,48.5
73,48.25
74,48.25
75,47.75
76,48.25
77,47.75
78,48.375
79,47.625
80,48.5
81,48.25
82,48.5
83,47.875
84,48.25
85,47.625
86,48.25
87,47.5
88,48.5
89,47.625
90,48.125
91,47.5
92,48.0
93,47.5
94,48.0
95,47.5
96,47.625
97,47.5
98,47.5
99,47.625
100,47.5
101,47.625
102,47.5
103,47.5
104,47.0
105,47.0
106,47.25
107,46.5
108,47.0
109,46.5
110,46.5
111,46.5
112,46.875
113,46.5
114,46.5
115,46.5
116,46.5
117,46.5
118,46.5
119,45.625
120,46.0
121,46.5
122,45.5
123,45.75
124,46.0
125,45.875
126,45.5
127,45.5
128,46.0
129,45.5
130,45.5
131,45.5
132,45.625
133,45.5
134,45.5
135,45.5
136,45.625
137,45.5
138,45.5
139,45.5
140,45.5
141,45.5
142,45.5
143,45.5
144,45.5
145,45.875
146,45.5
147,45.5
148,45.5
149,45.5
150,45.5
151,45.5
152,45.625
153,46.0
154,46.0
155,45.75
156,45.5
157,45.5
158,45.5
159,46.125
160,46.0
161,46.0
162,45.5
163,46.25
164,46.0
165,46.0
166,45.5
167,46.5
168,46.0
169,45.5
170,46.5
171,46.0
172,45.5
173,46.25
174,45.5
175,46.5
176,45.5
177,46.5
178,45.75
179,46.5
180,45.625
181,46.5
182,45.5
183,46.5
184,45.5
185,46.0
186,45.5
187,46.0
188,46.25
189,45.5
190,46.125
191,45.5
192,45.75
193,46.0
194,45.5
195,46.0
196,45.5
197,45.5
198,46.0
199,45.5
200,45.5
201,45.5
202,45.5
203,45.5
204,45.5
205,45.625
206,45.5
207,45.5
208,45.5
209,45.5
210,45.5
211,45.5
212,44.75
213,45.5
214,45.5
215,45.5
216,44.5
217,45.25
218,45.5
219,45.5
220,44.5
221,44.875
222,45.0
223,45.125
224,45.125
225,44.5
226,44.5
227,45.0
228,45.0
229,44.5
230,44.5
231,44.5
232,44.875
233,45.0
234,44.5
235,44.5
236,44.5
237,44.5
238,44.5
239,44.125
240,44.5
241,44.5
242,44.5
243,44.5
244,44.5
245,43.5
246,44.125
247,44.5
248,44.5
249,44.5
250,44.5
251,43.5
252,43.5
253,43.625
254,44.0
255,44.0
256,44.125
257,43.875
258,43.5
259,43.5
260,43.5
261,43.5
262,43.5
263,44.0
264,43.0
265,43.5
266,43.5
267,43.5
268,43.5
269,43.5
270,43.5
271,43.5
272,42.5
273,42.5
274,42.5
275,43.125
276,43.125
277,43.25
278,43.5
279,43.125
280,43.5
281,42.5
282,42.5
283,42.5
284,42.5
285,42.5
286,42.5
287,42.625
288,42.75
289,42.75
290,42.125
291,42.5
292,42.5
293,42.5
294,42.5
295,42.5
296,42.5
297,42.5
298,42.5
299,42.5
300,41.5
301,41.5
302,41.5
303,41.5
304,41.5
305,41.75
306,41.875
307,41.875
308,41.875
309,42.0
310,41.875
311,41.375
312,41.5
313,41.5
314,41.5
315,41.5
316,41.5
317,41.5
318,41.5
319,41.5
320,41.5
321,41.5
322,41.25
323,40.75
324,40.5
325,40.5
326,40.5
327,40.5
328,40.5
329,40.5
330,40.75
331,40.75
332,40.75
333,40.875
334,40.875
335,40.875
336,40.625
337,40.25
338,40.25
339,40.5
340,40.5
341,40.5
342,40.5
343,40.5
344,40.5
345,40.5
346,40.5
347,40.5
348,40.5
349,40.5
350,40.5
351,40.5
352,39.75
353,39.5
354,39.5
355,39.5
356,39.5
357,39.5
358,39.5
359,39.5
360,39.5
361,39.5
362,39.5
363,39.5
364,39.5
365,39.5
366,39.5
367,39.5
368,39.5
369,39.25
370,38.5
371,38.5
372,38.5
373,38.5
374,38.5
375,38.5
376,38.5
377,38.625
378,38.5
379,38.75
380,39.125
381,38.625
382,38.875
383,39.0
384,39.0
385,39.0
386,39.0
387,38.75
388,38.5
389,38.25
390,38.0
391,38.0
392,38.125
393,38.25
394,38.5
395,38.5
396,38.5
397,38.5
398,38.5
399,38.5
400,38.5
401,38.5
402,38.5
403,38.5
404,38.5
405,38.5
406,38.5
407,38.5
408,38.5
409,38.5
410,38.5
411,38.5
412,38.25
413,37.5
414,37.5
415,37.5
416,37.5
417,37.5
418,37.5
419,37.5
420,37.5
421,37.5
422,37.5
423,37.5
424,37.5
425,37.5
426,37.5
427,37.5
428,37.5
429,37.5
430,37.5
431,37.5
432,37.5
433,37.5
434,37.5
435,37.5
436,37.0
437,36.5
438,36.5
439,36.5
440,36.5
441,36.5
442,36.5
443,36.5
444,36.5
445,36.5
446,36.5
447,36.5
448,36.5
449,36.5
450,36.5
451,36.5
452,36.5
453,36.5
454,36.5
455,36.5
456,36.5
457,36.5
458,36.5
459,36.5
460,36.5
461,36.5
462,36.5
463,36.5
464,36.5
465,35.5
466,35.5
467,35.5
468,35.5
469,35.5
470,35.5
471,35.5
472,35.5
473,35.5
474,35.5
475,35.5
476,35.5
477,35.5
478,35.5
479,35.5
480,35.5
481,35.5
482,35.5
483,35.5
484,35.5
485,35.5
486,35.5
487,35.5
488,35.5
489,35.5
490,35.5
491,35.5
492,35.5
493,35.5
494,35.5
495,35.5
496,35.5
497,35.25
498,35.25
499,34.75
500,35.0
501,34.75
502,34.75
503,34.5
504,34.75
505,34.75
506,34.75
507,34.5
508,34.5
509,34.5
510,34.5
511,34.5
512,34.5
513,34.5
514,34.5
515,34.5
516,34.5
517,34.5
518,34.5
519,34.5
520,34.5
521,34.5
522,34.5
523,34.5
524,34.5
525,34.5
526,34.5
527,34.5
528,34.5
529,34.5
530,34.5
531,34.5
532,34.5
533,34.5
534,34.5
535,34.5
536,34.5
537,34.5
538,34.5
539,34.5
540,34.5
541,34.5
542,34.5
543,34.5
544,34.0
545,33.75
546,33.5
547,33.5
548,33.5
549,33.5
550,33.5
551,33.5
552,33.5
553,33.5
554,33.5
555,33.5
556,33.5
557,33.5
558,33.5
559,33.5
560,33.5
561,33.5
562,33.5
563,33.5
564,33.5
565,33.5
566,33.5
567,33.5
568,33.5
569,33.5
570,33.5
571,33.5
572,33.5
573,33.5
574,33.5
575,33.5
576,33.5
577,33.5
578,33.5
579,33.5
580,33.5
581,33.5
582,33.5
583,33.5
584,33.5
585,33.5
586,33.5
587,33.5
588,33.5
589,33.0
590,33.0
591,32.5
592,32.5
593,33.0
594,32.5
595,32.75
596,33.0
597,32.5
598,32.5
599,32.5
600,32.5
601,32.5
602,32.5
603,32.5
604,32.5
605,32.5
606,32.5
607,32.5
608,32.5
609,32.5
610,32.5
611,32.5
612,32.5
613,32.5
614,32.5
615,32.5
616,32.5
617,32.5
618,32.5
619,32.5
620,32.5
621,32.5
622,32.5
623,32.5
624,32.5
625,32.5
626,32.5
627,32.5
628,32.5
629,32.5
630,32.5
631,32.5
632,32.5
633,32.5
634,32.5
635,32.5
636,32.5
637,32.5
638,32.5
639,32.5
640,32.5
641,32.5
642,32.5
643,32.25
644,32.25
645,32.25
646,32.25
647,32.25
648,32.25
649,31.75
650,32.25
651,31.5
652,31.5
653,32.25
654,31.75
655,31.5
656,31.5
657,31.5
658,31.5
659,31.5
660,31.5
661,31.5
662,31.5
663,31.5
664,31.5
665,31.5
666,31.5
667,31.5
668,31.5
669,31.5
670,31.5
671,31.5
672,31.5
673,31.5
674,31.5
675,31.5
676,31.5
677,31.5
678,31.5
679,31.5
680,31.5
681,31.5
682,31.5
683,31.5
684,31.5
685,31.5
686,31.5
687,31.5
688,31.5
689,31.5
690,31.5
691,31.5
692,31.5
693,31.5
694,31.5
695,31.5
696,31.5
697,31.5
698,31.5
699,31.5
700,31.5
701,31.5
702,31.5
703,31.5
704,31.5
705,31.5
706,31.5
707,31.5
708,31.5
709,31.5
710,31.0
711,31.0
712,31.25
713,31.25
714,31.5
715,31.25
716,31.0
717,31.25
718,31.25
719,31.25
720,31.25
721,31.0
722,30.75
723,31.0
724,30.5
725,31.0
726,31.0
727,30.5
728,30.5
729,31.0
730,30.5
731,30.75
732,30.5
733,30.5
734,30.5
735,30.5
736,30.5
737,30.5
738,30.5
739,30.5
740,30.5
741,30.5
742,30.5
743,30.5
744,30.5
745,30.5
746,30.5
747,30.5
748,30.5
749,30.5
750,30.5
751,30.5
752,30.5
753,30.5
754,30.5
755,30.5
756,30.5
757,30.5
758,30.5
759,30.5
760,30.5
761,30.5
762,30.5
763,30.5
764,30.5
765,30.5
766,30.5
767,30.5
768,30.5
769,30.5
770,30.5
771,30.5
772,30.5
773,30.5
774,30.5
775,30.5
776,30.5
777,30.5
778,30.5
779,30.5
780,30.5
781,30.5
782,30.5
783,30.5
784,30.5
785,30.5
786,30.5
787,30.5
788,30.5
789,30.5
790,30.5
791,30.5
792,30.5
793,30.5
794,30.25
795,30.25
796,30.5
797,30.25
798,30.0
799,30.25
800,30.25
801,30.0
802,30.25
803,30.25
804,30.25
805,29.5
806,29.75
807,29.5
808,29.75
809,29.75
810,29.5
811,30.0
812,29.5
813,30.0
814,29.5
815,29.75
816,29.5
817,29.5
818,29.5
819,29.5
820,29.5
821,29.5
822,29.5
823,29.5
824,29.625
825,29.5
826,29.5
827,29.5
828,29.5
829,29.5
830,29.5
831,29.625
832,29.5
833,29.5
834,29.625
835,29.5
836,29.5
837,29.5
838,29.5
839,29.5
840,29.5
841,29.5
842,29.5
843,29.5
844,29.5
845,29.5
846,29.5
847,29.5
848,29.5
849,29.5
850,29.5
851,29.5
852,29.5
853,29.5
854,29.5
855,29.5
856,29.5
857,29.5
858,29.5
859,29.5
860,29.5
861,29.5
862,29.5
863,29.5
864,29.5
865,29.5
866,29.5
867,29.5
868,29.5
869,29.5
870,29.5
871,29.5
872,29.5
873,29.5
874,29.5
875,29.5
876,29.5
877,29.5
878,29.5
879,29.5
880,29.5
881,29.5
882,29.5
883,29.5
884,29.5
885,29.5
886,29.5
887,29.5
888,29.5
889,29.5
890,29.5
891,29.5
892,29.5
893,29.5
894,29.5
895,29.5
896,29.5
897,29.5
898,29.5
899,29.5
900,29.5
901,29.5
902,29.5
903,29.5
904,29.5
905,29.25
906,29.5
907,29.25
908,29.0
909,29.25
910,29.25
911,29.0
912,29.0
913,29.0
914,29.0
915,29.5
916,29.5
917,29.5
918,29.25
919,28.75
920,29.0
921,29.5
922,29.5
923,28.875
924,28.75
925,29.0
926,29.25
927,28.75
928,28.875
929,28.875
930,29.0
931,28.5
932,28.5
933,28.75
934,28.5
935,28.5
936,28.5
937,28.625
938,28.5
939,28.75
940,28.5
941,28.5
942,28.5
943,28.5
944,28.5
945,28.5
946,28.5
947,28.5
948,28.5
949,28.5
950,28.5
951,28.5
952,28.5
953,28.5
954,28.5
955,28.5
956,28.5
957,28.5
958,28.5
959,28.5
960,28.5
961,28.5
962,28.5
963,28.5
964,28.5
965,28.5
966,28.5
967,28.5
968,28.5
969,28.5
970,28.5
971,28.5
972,28.5
973,28.5
974,28.5
975,28.5
976,28.5
977,28.5
978,28.5
979,28.5
980,28.5
981,28.5
982,28.5
983,28.5
984,28.5
985,28.5
986,28.5
987,28.5
988,28.5
989,28.5
990,28.5
991,28.5
992,28.5
993,28.5
994,28.5
995,28.5
996,28.5
997,28.5
998,28.5
999,28.5
1000,28.5
1001,28.5
1002,28.5
1003,28.5
1004,28.5
1005,28.5
1006,28.5
1007,28.5
1008,28.5
1009,28.5
1010,28.5
1011,28.5
1012,28.5
1013,28.5
1014,28.5
1015,28.5
1016,28.5
1017,28.5
1018,28.5
1019,28.5
1020,28.5
1021,28.5
1022,28.5
1023,28.5
1024,28.5
1025,28.5
1026,28.5
1027,28.5
1028,28.5
1029,28.5
1030,28.5
1031,28.5
1032,28.5
1033,28.5
1034,28.5
1035,28.5
1036,28.5
1037,28.5
1038,28.5
1039,28.5
1040,28.5
1041,28.5
1042,28.5
1043,28.5
1044,28.5
1045,28.5
1046,28.5
1047,28.375
1048,28.5
1049,28.5
1050,28.5
1051,28.5
1052,28.25
1053,28.5
1054,28.5
1055,28.5
1056,28.375
1057,28.5
1058,28.25
1059,28.5
1060,28.5
1061,28.25
1062,28.25
1063,28.5
1064,28.25
1065,28.5
1066,28.25
1067,28.125
1068,28.25
1069,28.25
1070,28.125
1071,28.375
1072,27.625
1073,28.5
1074,27.875
1075,28.125
1076,28.125
1077,28.375
1078,28.125
1079,28.125
1080,27.875
1081,28.125
1082,27.625
1083,28.0
1084,27.875
1085,28.25
1086,28.0
1087,28.25
1088,27.75
1089,27.875
1090,27.875
1091,27.625
1092,27.875
1093,28.0
1094,27.875
1095,27.875
1096,27.75
1097,28.0
1098,27.875
1099,27.75
1100,28.0
1101,28.0
1102,27.75
1103,27.875
1104,27.875
1105,28.0
1106,27.75
1107,27.875
1108,28.0
1109,27.875
1110,27.875
1111,27.75
1112,27.875
1113,27.875
1114,27.875
1115,27.875
1116,27.875
1117,27.75
1118,27.75
1119,27.875
1120,27.75
1121,27.75
1122,28.0
1123,27.875
1124,28.0
1125,28.0
1126,28.0
1127,27.875
1128,28.0
1129,28.0
1130,28.0
1131,28.0
1132,28.0
1133,28.0
1134,28.0
1135,28.0
1136,28.0
1137,28.0
1138,28.0
1139,28.0
1140,28.0
1141,28.0
1142,28.0
1143,28.0
1144,28.0
1145,28.0
1146,28.0
1147,28.0
1148,28.0
1149,28.0
1150,28.0
1151,28.0
1152,28.0
1153,28.0
1154,28.0
1155,28.0
1156,28.0
1157,28.0
1158,28.0
1159,28.0
1160,28.0
1161,28.0
1162,28.0
1163,28.0
1164,28.0
1165,28.0
1166,28.0
1167,28.0
1168,28.0
1169,28.0
1170,28.0
1171,28.0
1172,28.0
1173,28.0
1174,28.0
1175,28.0
1176,28.0
1177,28.0
1178,28.0
1179,28.0
1180,28.0
1181,28.0
1182,28.0
1183,28.0
1184,28.0
1185,27.875
1186,28.0
1187,28.0
1188,28.0
1189,28.0
1190,28.0
1191,28.0
1192,28.0
1193,28.0
1194,28.0
1195,28.0
1196,28.0
1197,28.0
1198,28.0
1199,28.0
1200,28.0
1201,28.0
1202,28.0
1203,28.0
1204,28.0
1205,28.0
1206,28.0
1207,28.0
1208,28.0
1209,28.0
1210,28.0
1211,28.0
1212,28.0
1213,28.0
1214,28.0
1215,27.625
1216,27.5
1217,27.875
1218,27.875
1219,27.875
1220,27.875
1221,27.875
1222,27.875
